CEDICT with Classical Mandarin pronunciation (中州音)		
v20200702		
Trascription curated by Hien-haw Liow		
License: cc-by-sa 3.0		
character	pronunciation	gloss
歇頂	hiɛʔᵗ tiŋ˥˧	/to be balding/to be thinning on top/
歈	jy˩	/songs/
歌	kɔ	/song/CL:支,首/to sing/
歌兒	kɔ ɻ˩	/song/
歌劇	kɔ giʔᵏ˩	/Western opera/CL:場|场,齣|出/
歌劇院	kɔ giʔᵏ˩ (ŋ)jyuɛn˨˦	/opera house/
歌劇院魅影	kɔ giʔᵏ˩ (ŋ)jyuɛn˨˦ mui˨˦ ʔiŋ˥˧	/The Phantom of the Opera by Andrew Lloyd Webber/
歌唱	kɔ tʃʰiɑŋ˨˦	/to sing/
歌唱家	kɔ tʃʰiɑŋ˨˦ kia	/singer/
歌唱賽	kɔ tʃʰiɑŋ˨˦ sai˨˦	/song contest/
歌姬	kɔ kji	/female singer/
歌子	kɔ tsɨ˥˧	/song/
歌廳	kɔ tʰiŋ	/karaoke hall/singing hall (venue for concerts of popular songs)/
歌德	kɔ təʔᵏ	/Johann Wolfgang von Goethe (1749-1832), German poet and dramatist/
歌德	kɔ təʔᵏ	/to sing the praises of sb/
歌手	kɔ ʃiw˥˧	/singer/
歌曲	kɔ kʰyuʔᵏ	/song/
歌筵	kɔ jiɛn˩	/a feast which also has a singing performance/
歌聲	kɔ ʃiŋ	/singing voice/fig. original voice of a poet/
歌舞	kɔ vu˥˧	/singing and dancing/
歌舞團	kɔ vu˥˧ tʱwɔn˩	/song and dance troupe/
歌詞	kɔ sʱɨ˩	/song lyric/lyrics/
歌詠	kɔ jyuəŋ˨˦	/singing/
歌謠	kɔ jiɛw˩	/folksong/ballad/nursery rhyme/
歌迷	kɔ mji˩	/fan of a singer/
歔	hy	/to snort/
歕	pʰun	/old variant of 噴|喷/
歗	siɛw˨˦	/old variant of 嘯|啸/
歠	tʃʰyuɛʔᵗ	/(literary) to drink/to sip/gruel/soup/
歡	hwɔn	/joyous/happy/pleased/
歡勢	hwɔn ʃji˨˦	/lively/full of vigor/vibrant/spirited/
歡喜	hwɔn hi˥˧	/happy/joyous/delighted/to like/to be fond of/
歡喜冤家	hwɔn hi˥˧ ʔyuɛn kia	/quarrelsome but loving couple/
歡天喜地	hwɔn tʰiɛn hi˥˧ di˨˦	/delighted/with great joy/in high spirits/
歡宴	hwɔn ʔiɛn˨˦	/feast/celebration/
歡容	hwɔn jyuŋ˩	/happy/joyous/
歡實	hwɔn ʃʱiʔᵗ˩	/lively/full of vigor/vibrant/spirited/
歡心	hwɔn sim	/favor/liking/love/jubilation/joy/
歡快	hwɔn kʰwai˨˦	/cheerful and lighthearted/lively/
歡悅	hwɔn jyuɛʔᵗ˩	/happiness/joy/to be happy/to be joyous/
歡暢	hwɔn tʃʰiɑŋ˨˦	/happy/cheerful/jubilant/
歡欣	hwɔn hin	/elated/
歡欣鼓舞	hwɔn hin ku˥˧ vu˥˧	/elated and excited (idiom); overjoyed/
歡歡喜喜	hwɔn hwɔn hi˥˧ hi˥˧	/happily/
歡笑	hwɔn siɛw˨˦	/to laugh happily/a belly-laugh/
歡聲	hwɔn ʃiŋ	/cheers/cries of joy or approval/
歡送	hwɔn suŋ˨˦	/to see off/to send off/
歡騰	hwɔn tʱəŋ˩	/jubilation/great celebration/CL:片/
止	tʃɨ˥˧	/to stop/to prohibit/until/only/
止損點	tʃɨ˥˧ sun˥˧ tiɛm˥˧	/stop-loss point, a point at which you make a small loss to limit your losses/
止步	tʃɨ˥˧ bu˨˦	/to halt/to stop/to go no farther/
止痛	tʃɨ˥˧ tʰuŋ˨˦	/to relieve pain/to stop pain/analgesic/
止痛法	tʃɨ˥˧ tʰuŋ˨˦ faʔᵖ	/method of relieving pain/
止痛藥	tʃɨ˥˧ tʰuŋ˨˦ jiɒʔᵏ˩	/painkiller/analgesic/anodyne/
止血	tʃɨ˥˧ hyuɛʔᵗ	/to staunch (bleeding)/hemostatic (drug)/
止血墊	tʃɨ˥˧ hyuɛʔᵗ tiɛm˨˦	/dressing/pad to stop bleeding/
止血貼	tʃɨ˥˧ hyuɛʔᵗ tʰiɛʔᵖ	/Band-Aid/plaster/
止鬧按鈕	tʃɨ˥˧ naw˨˦ ʔɑn˨˦ niw˥˧	/snooze button/
此	tsʰɨ˥˧	/this/these/
此刻	tsʰɨ˥˧ kʰəʔᵏ	/this moment/now/at present/
此地	tsʰɨ˥˧ di˨˦	/here/this place/
此外	tsʰɨ˥˧ (ŋ)wai˨˦	/besides/in addition/moreover/furthermore/
此時	tsʰɨ˥˧ ʃʱɨ˩	/now/this moment/
此時此刻	tsʰɨ˥˧ ʃʱɨ˩ tsʰɨ˥˧ kʰəʔᵏ	/at this very moment/
此時此地	tsʰɨ˥˧ ʃʱɨ˩ tsʰɨ˥˧ di˨˦	/here and now/as things stand/
此次	tsʰɨ˥˧ tsʰɨ˨˦	/this time/
此起彼落	tsʰɨ˥˧ kʰi˥˧ pi˥˧ lɒʔᵏ˩	/to rise and fall in succession (idiom)/repeating continuously/
此際	tsʰɨ˥˧ tsi˨˦	/then/as a result/
此類	tsʰɨ˥˧ lui˨˦	/this kind/these kinds/such/
步	bu˨˦	/surname Bu/
步	bu˨˦	/a step/a pace/walk/march/stages in a process/situation/
步伐	bu˨˦ fʱaʔᵗ˩	/pace/(measured) step/march/
步入	bu˨˦ ʒiʔᵖ˩	/to step into/to enter/
步兵	bu˨˦ piŋ	/infantry/foot/infantryman/foot soldier/
步子	bu˨˦ tsɨ˥˧	/step/pace/
步履	bu˨˦ li˥˧	/gait/to walk/
步履紊亂	bu˨˦ li˥˧ vun˨˦ lwɔn˨˦	/to be in complete disorder/
步態	bu˨˦ tʰai˨˦	/gait/tread/
步態蹣跚	bu˨˦ tʰai˨˦ mwɔn˩ swan	/to walk unsteadily/
步搖	bu˨˦ jiɛw˩	/dangling ornament worn by women/
步月	bu˨˦ (ŋ)jyuɛʔᵗ˩	/to stroll beneath the moon/
步步	bu˨˦ bu˨˦	/step by step/at every step/
步法	bu˨˦ faʔᵖ	/footwork/
步測	bu˨˦ ʈʂʰəʔᵏ	/pacing/
步犁	bu˨˦ lji˩	/walking plow/
步行	bu˨˦ ɦ(i)əŋ˩	/to go on foot/to walk/
步行者	bu˨˦ ɦ(i)əŋ˩ tʃiɛ˥˧	/pedestrian/
步行街	bu˨˦ ɦ(i)əŋ˩ kiai	/car-free zone/pedestrian street/
步話機	bu˨˦ ɦwa˨˦ kji	/walkie-talkie/
步輦	bu˨˦ liɛn˥˧	/(literary) palanquin/sedan chair/to ride in a palanquin/
步韻	bu˨˦ jyun˨˦	/to write a poem using another poem's rhymes/
步驟	bu˨˦ ɖʐəw˨˦	/procedure/step/
歧	kʱi˩	/divergent/side road/
歧異	kʱi˩ ji˨˦	/difference/discrepancy/
歧路	kʱi˩ lu˨˦	/to diverge from the main road, also figuratively/
歧路燈	kʱi˩ lu˨˦ təŋ	/Lamp in the Side Street, novel by Qing dynasty writer Li Lüyuan 李綠園|李绿园[Li3 Lu:4 yuan2]/also written 岐路燈|岐路灯/
歧途	kʱi˩ tʱu˩	/fork in a road/wrong road/
歫	gy'˨˦	/old variant of 距/old variant of 拒/
歰	ʂɨʔᵖ	/archaic variant of 澀|涩/
歲	sui˨˦	/classifier for years (of age)/year/year (of crop harvests)/
歲俸	sui˨˦ fuŋ˨˦	/annual salary/
歲入	sui˨˦ ʒiʔᵖ˩	/annual revenue/annual income/
歲序	sui˨˦ sʱy'˨˦	/succession of seasons/
歲時	sui˨˦ ʃʱɨ˩	/season/time of the year/
歲暮	sui˨˦ mu˨˦	/end of the year/
歲月	sui˨˦ (ŋ)jyuɛʔᵗ˩	/years/time/
歲月如梭	sui˨˦ (ŋ)jyuɛʔᵗ˩ ʒy˩ sɔ	/time flies (idiom)/
歲月如流	sui˨˦ (ŋ)jyuɛʔᵗ˩ ʒy˩ liw˩	/the passage of the years/the flow of time/
歲月流逝	sui˨˦ (ŋ)jyuɛʔᵗ˩ liw˩ ʃʱji˨˦	/as time goes by (idiom)/
歲計	sui˨˦ kji˨˦	/annual budget/
歲闌	sui˨˦ lan˩	/late season of a year/
歸	kui	/surname Gui/
歸	kui	/to return/to go back to/to give back to/(of a responsibility) to be taken care of by/to belong to/to gather together/(used between two identical verbs) despite/to marry (of a woman) (old)/division on the abacus with a one-digit divisor/
歸仁	kui ʒin˩	/Kueijen township in Tainan county 台南縣|台南县, Taiwan/
歸位	kui ui˨˦	/to put sth back where it belongs/to return to the original position/to return to one's seat (in a classroom)/
歸僑	kui kʱiɛw˩	/Chinese person who returns to China after living as an expatriate/
歸入	kui ʒiʔᵖ˩	/to assign (to a class)/to classify as/to include/
歸公	kui kuŋ	/to commandeer/to take over for the state/
歸功	kui kuŋ	/to give credit/to give sb his due/attribution/
歸化	kui hwa˨˦	/old name for district of Hohhot city 呼和浩特, Inner Mongolia/
歸化	kui hwa˨˦	/naturalization/
歸口	kui kʰəw˥˧	/to return to one's original trade/to put (a business etc) under the administration of the relevant central authority/(the) relevant (department in charge of sth)/
歸向	kui hiɑŋ˨˦	/to turn toward/
歸因	kui ʔin	/to attribute/to ascribe/
歸因理論	kui ʔin li˥˧ lun˨˦	/attribution theory (psychology)/
歸國	kui kwəʔᵏ	/to go home (to one's native country)/to return from abroad/
歸天	kui tʰiɛn	/to die/
歸心	kui sim	/converted to (religion)/
歸心者	kui sim tʃiɛ˥˧	/religious convert/
歸攏	kui luŋ˥˧	/to gather/to rake together/to pile up/
歸案	kui ʔɑn˨˦	/to bring to justice/to file away (a document)/
歸牧	kui muʔᵏ˩	/to return from pasture/
歸程	kui tʃʱiŋ˩	/return trip/homeward journey/
歸納	kui naʔᵖ˩	/to sum up/to summarize/to conclude from facts/induction (method of deduction in logic)/
歸納法	kui naʔᵖ˩ faʔᵖ	/induction (method of deduction in logic)/
歸罪	kui dzui'˨˦	/to blame sb/
歸西	kui si	/to die/euphemism, lit. to return West or to the Western Paradise/
歸謬法	kui miw˨˦ faʔᵖ	/reductio ad absurdum/arguing by contradiction/also called 反證法|反证法/
歸路	kui lu˨˦	/the way back/return route/
歸途	kui tʱu˩	/the way back/one's journey home/
歸附	kui fʱu˨˦	/to realign one's allegiance (to another religion, ruler etc)/to submit/
歸零地	kui liŋ˩ di˨˦	/Ground Zero/
歸順	kui ʃʱyun˨˦	/to surrender and pay allegiance to/
歸類	kui lui˨˦	/to classify/to categorize/
死	sɨ˥˧	/to die/impassable/uncrossable/inflexible/rigid/extremely/damned/
死中求生	sɨ˥˧ tʃyuŋ kʱiw˩ ʂəŋ	/to seek life in death (idiom); to fight for one's life/
死人	sɨ˥˧ ʒin˩	/dead person/(coll.) to die/(of a death) to happen/
死刑	sɨ˥˧ ɦiŋ˩	/death penalty/
死勁	sɨ˥˧ kiŋ˨˦	/all one's strength/with might and main/
死勁兒	sɨ˥˧ kiŋ˨˦ ɻ˩	/erhua variant of 死勁|死劲/
死去	sɨ˥˧ kʰy˨˦	/to die/
死命	sɨ˥˧ miŋ˨˦	/doom/death/desperately/
死囚	sɨ˥˧ tsʱiw˩	/prisoner that awaits execution/convict sentenced to death/someone on death row/
死因	sɨ˥˧ ʔin	/cause of death/
死城	sɨ˥˧ tʃʱiŋ˩	/ghost town/
死寂	sɨ˥˧ dziʔᵏ˩	/deathly stillness/
死對頭	sɨ˥˧ tui˨˦ tʱəw˩	/arch-enemy/sworn enemy/
死局	sɨ˥˧ gyuʔᵏ˩	/hopeless situation/deadlock/
死屍	sɨ˥˧ ʃɨ	/a corpse/a dead body/
死巷	sɨ˥˧ ɦiɑŋ˨˦	/blind alley/dead end/
死心	sɨ˥˧ sim	/to give up/to admit failure/to drop the matter/to reconcile oneself to loss/to have no more illusions about/
死心塌地	sɨ˥˧ sim tʰaʔᵖ di˨˦	/to be hell-bent on/dead set on sth/unswerving/
死心眼兒	sɨ˥˧ sim (ŋ)jian˥˧ ɻ˩	/stubborn/obstinate/having a one-track mind/
死心踏地	sɨ˥˧ sim daʔᵖ˩ di˨˦	/see 死心塌地/
死戰	sɨ˥˧ tʃiɛn˨˦	/fight to the death/desperate struggle/
死敵	sɨ˥˧ diʔᵏ˩	/mortal enemy/arch-enemy/
死文字	sɨ˥˧ vun˩ dzɨ˨˦	/dead language/indecipherable script/
死板	sɨ˥˧ pan˥˧	/rigid/inflexible/
死機	sɨ˥˧ kji	/to crash (of a computer)/
死死	sɨ˥˧ sɨ˥˧	/rigid/unwavering/unbendable/firm (hold on sth)/tenacious/
死水	sɨ˥˧ ʂui˥˧	/stagnant water/backwater/
死海	sɨ˥˧ hai˥˧	/the Dead Sea/
死無對證	sɨ˥˧ vu˩ tui˨˦ tʃiŋ˨˦	/the dead cannot testify (idiom); dead men tell no tales/
死球	sɨ˥˧ kʱiw˩	/(ball sports) dead ball/
死生	sɨ˥˧ ʂəŋ	/life or death/critical (event)/
死產	sɨ˥˧ ʈʂʰan˥˧	/stillbirth/
死硬	sɨ˥˧ ŋiŋ˨˦	/stiff/rigid/obstinate/
死神	sɨ˥˧ ʃʱin˩	/mythological figure (such as the Grim Reaper) in charge of taking the souls of those who die/(fig.) death/
死穴	sɨ˥˧ ɦyuɛʔᵗ˩	/lethal point (acupuncture)/vulnerable spot/Achilles' heel/
死節	sɨ˥˧ tsiɛʔᵗ	/to die or be martyred for a noble cause/to be faithful unto death/
死絕	sɨ˥˧ dzyuɛʔᵗ˩	/to die out/to be exterminated/to become extinct/
死線	sɨ˥˧ siɛn˨˦	/deadline (loanword)/
死緩	sɨ˥˧ ɦwɔn'˨˦	/deferred death sentence/commuted death sentence with forced labor and judicial review after two years (PRC) (legal)/
死罪	sɨ˥˧ dzui'˨˦	/mortal crime/capital offense/
死翹翹	sɨ˥˧ kʱiɛw˩ kʱiɛw˩	/to die/to drop dead/
死者	sɨ˥˧ tʃiɛ˥˧	/the dead/the deceased/
死胡同	sɨ˥˧ ɦu˩ tʱuŋ˩	/dead end/blind alley/
死角	sɨ˥˧ kiɒʔᵏ	/gap in coverage/gap in protection or defenses/neglected or overlooked area/dead end/
死訊	sɨ˥˧ sin˨˦	/news of sb's death/
死記	sɨ˥˧ ki˨˦	/to learn by rote/to cram/
死路	sɨ˥˧ lu˨˦	/dead end/(fig.) the road to disaster/
死鎖	sɨ˥˧ s(w)ɔ˥˧	/deadlock (computing)/
死頑固	sɨ˥˧ (ŋ)wan˩ ku˨˦	/very stubborn/very stubborn person/die-hard/
死鬼	sɨ˥˧ kui˥˧	/devil/You devil! (as joke or insult)/the departed/
死點	sɨ˥˧ tiɛm˥˧	/blind spot/dead center/
歿	muʔᵗ˩	/to end/to die/
殀	ʔiɛw˥˧	/variant of 夭/to die young/to die prematurely/Taiwan pr. [yao3]/
殂	tsʱu˩	/to die/
殃	ʔiɑŋ	/calamity/
殃及	ʔiɑŋ giʔᵖ˩	/to bring disaster to/
殄	diɛn'˨˦	/to exterminate/
殈	hyuəʔᵏ	/damage egg so it does not hatch/
殉	sʱyun˨˦	/to be buried with the dead/to die for a cause/
殉國	sʱyun˨˦ kwəʔᵏ	/to die for one's country/
殉情	sʱyun˨˦ tsʱiŋ˩	/to die together in the name of love/to sacrifice oneself for love/
殉死	sʱyun˨˦ sɨ˥˧	/to be buried alive as sacrifice (together with husband or superior)/
殉節	sʱyun˨˦ tsiɛʔᵗ	/to sacrifice one's life by loyalty (to one's prince, one's husband etc)/
殊	ʃʱy˩	/different/unique/special/very/(classical) to behead/to die/to cut off/to separate/to surpass/
殊姿	ʃʱy˩ tsɨ	/differing attitude/different posture/
殊榮	ʃʱy˩ jyuəŋ˩	/special glory/distinction/rare honor/one's laurels/it's a privilege (to meet you)/
殊死	ʃʱy˩ sɨ˥˧	/to behead/capital punishment/desperate struggle/life-and-death/
殊異	ʃʱy˩ ji˨˦	/entirely different/quite separate/
殊色	ʃʱy˩ ʂəʔᵏ	/beautiful girl/a beauty/
殊途同歸	ʃʱy˩ tʱu˩ tʱuŋ˩ kui	/different routes to the same destination (idiom); fig. different means of achieve the same end/
殖	ʃʱiʔᵏ˩	/to grow/to reproduce/
殖利	ʃʱiʔᵏ˩ li˨˦	/to generate a profit/profit/yield/
殖民	ʃʱiʔᵏ˩ min˩	/colony/colonial/
殖民地	ʃʱiʔᵏ˩ min˩ di˨˦	/colony/
殖民者	ʃʱiʔᵏ˩ min˩ tʃiɛ˥˧	/colonizer/colonist/settler/
殘	tsʱan˩	/to destroy/to spoil/to ruin/to injure/cruel/oppressive/savage/brutal/incomplete/disabled/to remain/to survive/remnant/surplus/
殘冬臘月	tsʱan˩ tuŋ laʔᵖ˩ (ŋ)jyuɛʔᵗ˩	/final days of the lunar year/
殘品	tsʱan˩ pʰin˥˧	/defective goods/
殘喘	tsʱan˩ tʃʰyuɛn˥˧	/remaining breath/last gasp/
殘垣	tsʱan˩ jyuɛn˩	/(literary) ruined walls/ruins/
殘存	tsʱan˩ tsʱun˩	/to survive/remnant/
殘局	tsʱan˩ gyuʔᵏ˩	/endgame (in chess)/desperate situation/aftermath (of a failure)/
殘念	tsʱan˩ niɛm˨˦	/(coll.) to regret/what a pity! (loanword from Japanese "zannen")/
殘敵	tsʱan˩ diʔᵏ˩	/defeated enemy/
殘月	tsʱan˩ (ŋ)jyuɛʔᵗ˩	/waning moon/
殘本	tsʱan˩ pun˥˧	/extant fragment (of book)/
殘株	tsʱan˩ tʃy	/stubble/
殘次品	tsʱan˩ tsʰɨ˨˦ pʰin˥˧	/defective goods/
殘疾	tsʱan˩ dziʔᵗ˩	/disabled/handicapped/deformity on a person or animal/
殘疾人	tsʱan˩ dziʔᵗ˩ ʒin˩	/disabled person/
殘破	tsʱan˩ pʰwɔ˨˦	/broken/dilapidated/
殘缺	tsʱan˩ kʰyuɛʔᵗ	/badly damaged/shattered/
殘羹	tsʱan˩ k(i)əŋ	/leftovers from a meal/
殘莖	tsʱan˩ ɦ(i)əŋ˩	/stubble (the stems of plants after harvest)/
殘虐	tsʱan˩ jiɒʔᵏ˩	/mistreatment/bullying/tyrannical cruelty/
殘酷	tsʱan˩ kʰuʔᵏ	/cruel/cruelty/
殘酷無情	tsʱan˩ kʰuʔᵏ vu˩ tsʱiŋ˩	/cruel and unfeeling (idiom)/
殘餘	tsʱan˩ jy˩	/remnant/relic/residue/vestige/surplus/to remain/to leave surplus/
殘餘物	tsʱan˩ jy˩ vuʔᵗ˩	/litter/trash/
殘香	tsʱan˩ hiɑŋ	/lingering fragrance/
殘骸	tsʱan˩ ɦiai˩	/remains/wreckage/
殙	hun	/to die by taking poison/
殛	kiʔᵏ	/to put to death/
殞	jyun˥˧	/to perish/to die/
殞命	jyun˥˧ miŋ˨˦	/to die/to perish/
殞落	jyun˥˧ lɒʔᵏ˩	/see 隕落|陨落/
殠	tʃʰiw˨˦	/variant of 臭/
殣	gin˨˦	/die of hunger/
殪	ʔji˨˦	/to exterminate/
殫	tan	/entirely/to exhaust/
殫力	tan liʔᵏ˩	/to strive/endeavor/
殫心	tan sim	/to devote one's entire mind/
殫悶	tan mun˨˦	/to faint/to swoon/to lose consciousness/
殫殘	tan tsʱan˩	/to destroy/
殫竭	tan giɛʔᵗ˩	/to use up/to exhaust/
殮	liɛm˨˦	/to prepare a dead body for coffin/
殯	pin˨˦	/a funeral/to encoffin a corpse/to carry to burial/
殯殮	pin˨˦ liɛm˨˦	/to bury sb/
殰	duʔᵏ˩	/abortion/stillborn/
殲	tsiɛm	/to annihilate/abbr. for 殲擊機|歼击机, fighter plane/
殲擊機	tsiɛm kiʔᵏ kji	/fighter plane/
殲滅	tsiɛm miɛʔᵗ˩	/to wipe out/to crush/to annihilate/
殸	kʰiŋ˨˦	/variant of 磬/
殻	kʰiɒʔᵏ	/variant of 殼|壳/
毀	hui˨˦	/to destroy/to damage/to ruin/to defame/to slander/
毀容	hui˨˦ jyuŋ˩	/to disfigure/to spoil the beauty of/
毀損	hui˨˦ sun˥˧	/impair, damage/
毀滅	hui˨˦ miɛʔᵗ˩	/to perish/to ruin/to destroy/
毀滅性	hui˨˦ miɛʔᵗ˩ siŋ˨˦	/destructive/devastating/
毀謗	hui˨˦ pɑŋ˨˦	/slander/libel/to malign/to disparage/
毅	(ŋ)i˨˦	/firm and resolute/staunch/
毅力	(ŋ)i˨˦ liʔᵏ˩	/perseverance/willpower/
毅然	(ŋ)i˨˦ ʒiɛn˩	/firmly/resolutely/without hesitation/
毆	ʔəw˥˧	/surname Ou/
毆	ʔəw˥˧	/to beat up/to hit sb/
毆打罪	ʔəw˥˧ ta˥˧ dzui'˨˦	/assault and battery (law)/
毈	dwɔn˨˦	/infertile egg/
毋	vu˩	/surname Wu/
毋	vu˩	/(literary) no/don't/to not have/nobody/
毋庸	vu˩ jyuŋ˩	/no need for/
毐	ʔai˥˧	/see historical character Lao Ai 嫪毐/by extension, person of reprehensible morals/immoral/adulterer/
毓	jyuʔᵏ˩	/(archaic) to give birth to a child/to rear/
毓婷	jyuʔᵏ˩ tʱiŋ˩	/levonorgestrel tablet (contraception)/
毖	pi˨˦	/careful/to prevent/
毗	pʱi˩	/to adjoin/to border on/
毚	ʈʂʱam˩	/cunning/artful/
毛	maw˩	/surname Mao/
毛	maw˩	/hair/feather/down/wool/mildew/mold/coarse or semifinished/young/raw/careless/unthinking/nervous/scared/(of currency) to devalue or depreciate/classifier for Chinese fractional monetary unit ( = 角 , = one-tenth of a yuan or 10 fen 分)/
毛利	maw˩ li˨˦	/gross profit/
毛利人	maw˩ li˨˦ ʒin˩	/Maori, indigenous Polynesian people of New Zealand/
毛口	maw˩ kʰəw˥˧	/metal filings (e.g. from a drill or lathe)/burr/
毛坑	maw˩ kʰəŋ	/variant of 茅坑/
毛塑像	maw˩ su˨˦ sʱiɑŋ'˨˦	/statue of Chairman Mao Zedong (1893-1976) 毛澤東|毛泽东/
毛子	maw˩ tsɨ˥˧	/hairy fellow/foreigner/Russian (derog.)/bandit (old)/tuft of fine hair/
毛子國	maw˩ tsɨ˥˧ kwəʔᵏ	/(derog.) Russia/
毛孔	maw˩ kʰuŋ˥˧	/pore/
毛孩子	maw˩ ɦai˩ tsɨ˥˧	/(coll.) infant/ignorant child/
毛巾	maw˩ kin	/towel/CL:條|条/
毛廁	maw˩ ʈʂʰɨ˨˦	/variant of 茅廁|茅厕/
毛手毛腳	maw˩ ʃiw˥˧ maw˩ kiɒʔᵏ	/carelessly and haphazardly/to paw/to grope/to get fresh/
毛毛	maw˩ maw˩	/(pet name for a baby or small child)/
毛毯	maw˩ tʰam˥˧	/blanket/
毛氈	maw˩ tʃiɛn	/felt/
毛派	maw˩ pʰai˨˦	/Maoist/
毛玻璃	maw˩ pʰwɔ lji˩	/frosted glass/
毛病	maw˩ biŋ˨˦	/fault/defect/shortcomings/ailment/CL:個|个/
毛痣	maw˩ tʃɨ˨˦	/hairy nevus/
毛皮	maw˩ pʱi˩	/fur/pelt/
毛窩	maw˩ ʔwɔ	/cotton-padded shoes/(old) shoes made of woven grass, padded with feathers/
毛竹	maw˩ tʃyuʔᵏ	/moso bamboo (Phyllostachys edulis), used as timber etc/
毛筆	maw˩ piʔᵗ	/writing brush/CL:枝,管/
毛細	maw˩ si˨˦	/capillary/
毛細孔	maw˩ si˨˦ kʰuŋ˥˧	/pore/
毛細血管	maw˩ si˨˦ hyuɛʔᵗ kwɔn˥˧	/capillary blood vessels/
毛絨玩具	maw˩ ʒyuŋ˩ (ŋ)wɔn˨˦ gy˨˦	/plush toy/cuddly toy/
毛絨絨	maw˩ ʒyuŋ˩ ʒyuŋ˩	/fluffy/furry/
毛線	maw˩ siɛn˨˦	/knitting wool/wool yarn/
毛腰	maw˩ ʔiɛw	/(dialect) to bend over/
毛色	maw˩ ʂəʔᵏ	/(of an animal) appearance or color of coat/
毛茶	maw˩ ʈʂʱa˩	/unprocessed sun-dried tea leaves used to make black or green tea/
毛血旺	maw˩ hyuɛʔᵗ wɑŋ˨˦	/duck's blood and beef tripe in spicy soup/
毛象	maw˩ sʱiɑŋ'˨˦	/mammoth/
毛豬	maw˩ tʃy	/live pig/
毛遂	maw˩ sʱui˨˦	/Mao Sui (third century BC), who proverbially offered his services to the King of Chu 楚, see 毛遂自薦|毛遂自荐/
毛邊	maw˩ piɛn	/raw edge (textiles, papermaking etc)/rough edge/
毛邊紙	maw˩ piɛn tʃɨ˥˧	/fine paper made from bamboo, used for calligraphy, painting etc/also written 毛邊|毛边/
毛酸漿	maw˩ swɔn tsiɑŋ	/husk ground-cherry/Physalis pubescens/
毛錐	maw˩ ʈʂui	/writing brush (old)/Castanopsis fordii, a species of evergreen tree common in the south of China whose calybia (nuts) resemble the tip of a writing brush/
毛驢	maw˩ ly˩	/donkey/CL:頭|头/
毛骨悚然	maw˩ kuʔᵗ syuŋ˥˧ ʒiɛn˩	/to have one's hair stand on end (idiom)/to feel one's blood run cold/
毛髮	maw˩ faʔᵗ	/hair/
毫	ɦaw˩	/hair/drawing brush/(in the) least/one thousandth/currency unit, 0.1 yuan/
毫克	ɦaw˩ kʰəʔᵏ	/milligram/
毫升	ɦaw˩ ʃiŋ	/milliliter/
毫安	ɦaw˩ ʔɑn	/milliampere/
毫巴	ɦaw˩ pa	/millibar (mbar or mb), unit of pressure (equal to hectopascal)/
毫微	ɦaw˩ vi˩	/(prefix) nano-/
毫微米	ɦaw˩ vi˩ mji˥˧	/millimicron or one-millionth of a millimeter/
毫毛	ɦaw˩ maw˩	/hair/soft hair/down/
毫無	ɦaw˩ vu˩	/not in the least/to completely lack/
毫無遜色	ɦaw˩ vu˩ sun˨˦ ʂəʔᵏ	/not in the least inferior (idiom)/
毫秒	ɦaw˩ miɛw˥˧	/millisecond, ms/
毫米	ɦaw˩ mji˥˧	/millimeter/
毫髮	ɦaw˩ faʔᵗ	/a hair/the slightest/
毬	kʱiw˩	/ball/
毯	tʰam˥˧	/blanket/rug/
毯子	tʰam˥˧ tsɨ˥˧	/blanket/CL:條|条,張|张,床,面/
毳	ʈʂʰui˨˦	/crisp/brittle/fine animal hair/
毿	sam	/long-haired/shaggy/
氂	lji˩	/yak (Bos grunniens)/
氂牛	lji˩ jiw˩	/yak (Bos grunniens)/
氄	ʒyuŋ˥˧	/down or fine hair/
氅	tʃʰiɑŋ˥˧	/overcoat/
氈	tʃiɛn	/felt (fabric)/
氈子	tʃiɛn tsɨ˥˧	/felt (fabric)/
氈靴	tʃiɛn hyuɛ	/felt boots/valenki (traditional Russian footwear)/
民	min˩	/surname Min/
民	min˩	/the people/nationality/citizen/
民事	min˩ ʂʱɨ˨˦	/civil case/agricultural affairs/civil/
民俗	min˩ sʱyuʔᵏ˩	/popular custom/
民兵	min˩ piŋ	/people's militia/militia/militiaman/
民勤	min˩ kʱin˩	/Minqin county in Wuwei 武威, Gansu/
民國	min˩ kwəʔᵏ	/Republic of China (1912-1949)/used in Taiwan as the name of the calendar era (e.g. 民國六十年|民国六十年 is 1971, the 60th year after 1911)/
民團	min˩ tʱwɔn˩	/civil corps/militia/
民家	min˩ kia	/minka/commoner's house/Bai ethnic group/
民工	min˩ kuŋ	/migrant worker/temporary worker enlisted on a public project/
民心	min˩ sim	/popular sentiment/
民情	min˩ tsʱiŋ˩	/circumstances of the people/popular sentiment/the mood of the people/popular customs/
民權	min˩ kʱyuɛn˩	/Minquan county in Shangqiu 商丘, Henan/
